asin,snapshot_ts,total_reviews,title,price,bsr,category_path,rating,review_count,captured_at
B0CT6C579K,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0B5VHRX7F,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B09NBVS84T,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0FJ8RXV1K,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0FHWF8GC5,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0DHX142GP,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0CZPGX972,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0CBLKS51N,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0BTJ9WHL9,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0CBLLJTTN,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0F21S7DT5,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B087JWTWF9,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0863TXGM3,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B08TMTFR6B,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0FB2VCQG1,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0DZHC7YSY,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0DPK2LN3G,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B094NC89P9,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0CVX9YTDL,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B07K2676W7,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B09XS7JWHH,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0DFYFW1HW,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
