asin,date,review_count,avg_sentiment,pos_cnt,neut_cnt,neg_cnt
B01LDVQIF0,2023-09-02,1,0.544,1,0,0
B01LDVQIF0,2023-09-14,1,-0.167,0,1,0
B01LDVQIF0,2023-09-16,1,0.0,0,1,0
B01LDVQIF0,2023-09-19,1,0.183,0,1,0
B01LDVQIF0,2023-09-25,1,0.458,1,0,0
B01LDVQIF0,2023-10-03,1,0.5,1,0,0
B01LDVQIF0,2023-10-08,1,0.0,0,1,0
B01LDVQIF0,2023-10-27,1,0.329,1,0,0
B01LDVQIF0,2023-10-31,1,-0.243,0,1,0
B01LDVQIF0,2023-11-06,1,-0.008,0,1,0
B01LDVQIF0,2023-11-07,1,0.171,0,1,0
B01LDVQIF0,2023-11-11,1,0.4,1,0,0
B01LDVQIF0,2023-11-16,1,0.2,0,1,0
B01LDVQIF0,2023-11-17,1,0.083,0,1,0
B01LDVQIF0,2023-11-27,1,0.269,0,1,0
B01LDVQIF0,2023-11-30,1,0.4,1,0,0
B01LDVQIF0,2023-12-01,1,0.09,0,1,0
B01LDVQIF0,2023-12-04,1,0.173,0,1,0
B01LDVQIF0,2023-12-30,1,0.133,0,1,0
B01LDVQIF0,2024-01-02,1,0.25,0,1,0
B01LDVQIF0,2024-01-05,1,0.406,1,0,0
B01LDVQIF0,2024-01-09,2,0.5335,2,0,0
B01LDVQIF0,2024-01-18,1,-0.025,0,1,0
B01LDVQIF0,2024-01-31,1,0.5,1,0,0
B01LDVQIF0,2024-02-19,1,1.0,1,0,0
B01LDVQIF0,2024-03-03,1,-0.167,0,1,0
B01LDVQIF0,2024-03-14,1,0.0,0,1,0
B01LDVQIF0,2024-03-20,1,0.7,1,0,0
B01LDVQIF0,2024-04-10,1,0.325,1,0,0
B01LDVQIF0,2024-04-12,1,0.0,0,1,0
B01LDVQIF0,2024-04-29,1,0.8,1,0,0
B01LDVQIF0,2024-05-09,1,0.023,0,1,0
B01LDVQIF0,2024-05-14,1,-0.356,0,0,1
B01LDVQIF0,2024-05-18,1,0.462,1,0,0
B01LDVQIF0,2024-06-01,2,0.2115,0,2,0
B01LDVQIF0,2024-06-03,1,0.0,0,1,0
B01LDVQIF0,2024-06-18,1,0.155,0,1,0
B01LDVQIF0,2024-07-27,1,0.0,0,1,0
B01LDVQIF0,2024-08-10,1,0.61,1,0,0
B01LDVQIF0,2024-08-20,2,0.006499999999999992,0,2,0
B01LDVQIF0,2024-08-27,1,0.5,1,0,0
B01LDVQIF0,2024-09-08,1,0.333,1,0,0
B01LDVQIF0,2024-09-17,1,-0.31,0,0,1
B01LDVQIF0,2024-10-07,1,0.175,0,1,0
B01LDVQIF0,2024-10-17,1,0.35,1,0,0
B01LDVQIF0,2024-11-10,1,-0.056,0,1,0
B01LDVQIF0,2024-11-19,1,0.209,0,1,0
B01LDVQIF0,2024-11-29,1,0.0,0,1,0
B01LDVQIF0,2024-12-22,1,0.0,0,1,0
B01LDVQIF0,2024-12-26,1,0.125,0,1,0
B01LDVQIF0,2025-01-01,1,0.228,0,1,0
B01LDVQIF0,2025-01-05,1,-0.167,0,1,0
B01LDVQIF0,2025-03-08,1,0.223,0,1,0
B01LDVQIF0,2025-04-06,1,0.0,0,1,0
B01LDVQIF0,2025-07-25,1,1.0,1,0,0
B01LDVQIF0,2025-08-12,1,0.119,0,1,0
B01LDVQIF0,2025-08-23,1,0.0,0,1,0
B01LDVQIF0,2025-08-24,1,0.0,0,1,0
B01LDVQIF0,2025-08-27,1,0.0,0,1,0
B01LDVQIF0,2025-09-29,1,0.0,0,1,0
B07K2676W7,2023-11-09,1,0.0,0,1,0
B07K2676W7,2023-11-15,1,0.205,0,1,0
B07K2676W7,2023-11-22,1,0.0,0,1,0
B07K2676W7,2023-11-30,1,0.217,0,1,0
B07K2676W7,2023-12-02,1,0.161,0,1,0
B07K2676W7,2023-12-10,1,0.219,0,1,0
B07K2676W7,2023-12-19,1,0.214,0,1,0
B07K2676W7,2023-12-25,2,0.5185,2,0,0
B07K2676W7,2023-12-31,1,0.477,1,0,0
B07K2676W7,2024-01-02,1,0.0,0,1,0
B07K2676W7,2024-01-03,2,0.5589999999999999,2,0,0
B07K2676W7,2024-01-08,2,0.2235,1,1,0
B07K2676W7,2024-01-16,1,0.9,1,0,0
B07K2676W7,2024-01-21,1,0.184,0,1,0
B07K2676W7,2024-01-22,1,0.587,1,0,0
B07K2676W7,2024-01-23,2,0.2415,1,1,0
B07K2676W7,2024-02-21,1,0.2,0,1,0
B07K2676W7,2024-03-06,1,0.0,0,1,0
B07K2676W7,2024-03-08,2,0.25,1,1,0
B07K2676W7,2024-03-11,1,0.6,1,0,0
B07K2676W7,2024-03-14,1,0.0,0,1,0
B07K2676W7,2024-03-22,1,0.192,0,1,0
B07K2676W7,2024-03-23,1,0.162,0,1,0
B07K2676W7,2024-03-28,1,0.35,1,0,0
B07K2676W7,2024-04-06,1,0.04,0,1,0
B07K2676W7,2024-04-10,1,0.412,1,0,0
B07K2676W7,2024-04-16,1,0.0,0,1,0
B07K2676W7,2024-04-26,1,0.7,1,0,0
B07K2676W7,2024-05-06,1,0.2,0,1,0
B07K2676W7,2024-05-07,1,-0.75,0,0,1
B07K2676W7,2024-05-09,1,0.35,1,0,0
B07K2676W7,2024-05-29,1,0.259,0,1,0
B07K2676W7,2024-05-31,1,0.258,0,1,0
B07K2676W7,2024-06-03,1,0.177,0,1,0
B07K2676W7,2024-06-10,1,0.268,0,1,0
B07K2676W7,2024-07-02,1,0.444,1,0,0
B07K2676W7,2024-07-10,1,0.35,1,0,0
B07K2676W7,2024-07-24,1,0.14,0,1,0
B07K2676W7,2024-08-05,1,0.35,1,0,0
B07K2676W7,2024-08-06,1,0.91,1,0,0
B07K2676W7,2024-08-09,1,0.677,1,0,0
B07K2676W7,2024-08-21,1,0.0,0,1,0
B07K2676W7,2024-08-23,1,-0.083,0,1,0
B07K2676W7,2024-09-07,1,0.261,0,1,0
B07K2676W7,2024-09-08,1,0.0,0,1,0
B07K2676W7,2024-09-18,1,0.4,1,0,0
B07K2676W7,2024-09-25,1,0.8,1,0,0
B07K2676W7,2024-09-30,1,0.15,0,1,0
B07K2676W7,2024-10-01,2,0.307,1,1,0
B07K2676W7,2024-10-02,1,0.136,0,1,0
B07K2676W7,2024-10-12,1,0.1,0,1,0
B07K2676W7,2024-10-15,1,-0.422,0,0,1
B07K2676W7,2024-10-31,1,0.344,1,0,0
B07K2676W7,2024-11-13,1,0.05,0,1,0
B07K2676W7,2024-12-26,1,0.287,0,1,0
B07K2676W7,2024-12-28,1,0.567,1,0,0
B07K2676W7,2025-01-03,1,0.522,1,0,0
B07K2676W7,2025-01-08,2,0.253,1,1,0
B07K2676W7,2025-01-09,1,0.177,0,1,0
B07K2676W7,2025-01-12,1,0.211,0,1,0
B07K2676W7,2025-01-15,1,0.137,0,1,0
B07K2676W7,2025-01-17,1,0.7,1,0,0
B07K2676W7,2025-01-20,2,0.4,1,1,0
B07K2676W7,2025-01-23,2,0.35,1,1,0
B07K2676W7,2025-01-28,1,0.048,0,1,0
B07K2676W7,2025-02-08,1,-0.1,0,1,0
B07K2676W7,2025-02-09,1,0.28,0,1,0
B07K2676W7,2025-02-10,2,0.368,1,1,0
B07K2676W7,2025-02-13,1,0.8,1,0,0
B07K2676W7,2025-02-23,2,0.3365,1,1,0
B07K2676W7,2025-02-26,1,0.25,0,1,0
B07K2676W7,2025-03-01,1,0.7,1,0,0
B07K2676W7,2025-03-08,1,0.214,0,1,0
B07K2676W7,2025-03-13,1,0.111,0,1,0
B07K2676W7,2025-03-25,1,0.433,1,0,0
B07K2676W7,2025-04-05,1,0.508,1,0,0
B07K2676W7,2025-04-08,1,0.243,0,1,0
B07K2676W7,2025-04-26,1,0.8,1,0,0
B07K2676W7,2025-05-04,1,0.274,0,1,0
B07K2676W7,2025-05-25,1,0.468,1,0,0
B07K2676W7,2025-06-18,1,0.75,1,0,0
B07K2676W7,2025-06-20,1,0.328,1,0,0
B07K2676W7,2025-07-09,1,0.263,0,1,0
B07K2676W7,2025-07-11,1,0.7,1,0,0
B07K2676W7,2025-07-27,2,0.0,0,2,0
B07K2676W7,2025-07-28,2,0.2375,1,1,0
B07K2676W7,2025-09-18,1,0.358,1,0,0
B07Z8J429C,2021-07-06,1,0.172,0,1,0
B07Z8J429C,2021-08-11,1,0.5,1,0,0
B07Z8J429C,2021-08-16,1,0.017,0,1,0
B07Z8J429C,2021-08-25,1,0.175,0,1,0
B07Z8J429C,2021-08-26,1,0.433,1,0,0
B07Z8J429C,2021-09-15,1,0.05,0,1,0
B07Z8J429C,2021-10-18,1,0.151,0,1,0
B07Z8J429C,2021-11-12,1,-0.125,0,1,0
B07Z8J429C,2021-11-25,1,-0.117,0,1,0
B07Z8J429C,2021-12-19,1,-0.1,0,1,0
B07Z8J429C,2021-12-29,1,0.226,0,1,0
B07Z8J429C,2022-01-11,1,0.301,1,0,0
B07Z8J429C,2022-02-12,1,0.312,1,0,0
B07Z8J429C,2022-02-24,1,0.078,0,1,0
B07Z8J429C,2022-03-10,1,0.411,1,0,0
B07Z8J429C,2022-03-11,1,0.238,0,1,0
B07Z8J429C,2022-04-23,2,0.1125,1,1,0
B07Z8J429C,2022-04-26,1,0.18,0,1,0
B07Z8J429C,2022-05-02,1,0.0,0,1,0
B07Z8J429C,2022-07-08,1,-0.278,0,1,0
